Category,City,Country,Customer ID,Customer Name,Discount,Order Date,Order ID,Postal Code,Product ID,Product Name,Profit,Quantity,Region,Row ID,Sales,Segment,Ship Date,Ship Mode,State,Sub-Category
Furniture,Henderson,United States,CG-12520,Claire Gute,0.0,,CA-2016-152156,42420,FUR-BO-10001798,Bush Somerset Collection Bookcase,41.9136,2,South,1,261.96,Consumer,2016-11-10T18:30:00.000Z,Second Class,Kentucky,Bookcases
Furniture,Henderson,United States,CG-12520,Claire Gute,0.0,,CA-2016-152156,42420,FUR-CH-10000454,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",219.582,3,South,2,731.94,Consumer,2016-11-10T18:30:00.000Z,Second Class,Kentucky,Chairs
Office Supplies,Los Angeles,United States,DV-13045,Darrin Van Huff,0.0,,CA-2016-138688,90036,OFF-LA-10000240,Self-Adhesive Address Labels for Typewriters by Universal,6.8714,2,West,3,14.62,Corporate,16-06-16,Second Class,California,Labels
Furniture,Fort Lauderdale,United States,SO-20335,Sean O'Donnell,0.45,,US-2015-108966,33311,FUR-TA-10000577,Bretford CR4500 Series Slim Rectangular Table,-383.031,5,South,4,957.5775,Consumer,18-10-15,Standard Class,Florida,Tables
Office Supplies,Fort Lauderdale,United States,SO-20335,Sean O'Donnell,0.2,,US-2015-108966,33311,OFF-ST-10000760,Eldon Fold 'N Roll Cart System,2.5164,2,South,5,22.368,Consumer,18-10-15,Standard Class,Florida,Storage
Furniture,Los Angeles,United States,BH-11710,Brosina Hoffman,0.0,,CA-2014-115812,90032,FUR-FU-10001487,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",14.1694,7,West,6,48.86,Consumer,14-06-14,Standard Class,California,Furnishings
Office Supplies,Los Angeles,United States,BH-11710,Brosina Hoffman,0.0,,CA-2014-115812,90032,OFF-AR-10002833,Newell 322,1.9656,4,West,7,7.28,Consumer,14-06-14,Standard Class,California,Art
Technology,Los Angeles,United States,BH-11710,Brosina Hoffman,0.2,,CA-2014-115812,90032,TEC-PH-10002275,Mitel 5320 IP Phone VoIP phone,90.7152,6,West,8,907.152,Consumer,14-06-14,Standard Class,California,Phones
Office Supplies,Los Angeles,United States,BH-11710,Brosina Hoffman,0.2,,CA-2014-115812,90032,OFF-BI-10003910,DXL Angle-View Binders with Locking Rings by Samsill,5.7825,3,West,9,18.504,Consumer,14-06-14,Standard Class,California,Binders
Office Supplies,Los Angeles,United States,BH-11710,Brosina Hoffman,0.0,,CA-2014-115812,90032,OFF-AP-10002892,Belkin F5C206VTEL 6 Outlet Surge,34.47,5,West,10,114.9,Consumer,14-06-14,Standard Class,California,Appliances
Furniture,Los Angeles,United States,BH-11710,Brosina Hoffman,0.2,,CA-2014-115812,90032,FUR-TA-10001539,Chromcraft Rectangular Conference Tables,85.3092,9,West,11,1706.184,Consumer,14-06-14,Standard Class,California,Tables
Technology,Los Angeles,United States,BH-11710,Brosina Hoffman,0.2,,CA-2014-115812,90032,TEC-PH-10002033,Konftel 250 Conference phone - Charcoal black,68.3568,4,West,12,911.424,Consumer,14-06-14,Standard Class,California,Phones
Office Supplies,Concord,United States,AA-10480,Andrew Allen,0.2,2017-04-15,CA-2017-114412,28027,OFF-PA-10002365,Xerox 1967,5.4432,3,South,13,15.552,Consumer,20-04-17,Standard Class,North Carolina,Paper
Office Supplies,Seattle,United States,IM-15070,Irene Maddox,0.2,,CA-2016-161389,98103,OFF-BI-10003656,Fellowes PB200 Plastic Comb Binding Machine,132.5922,3,West,14,407.976,Consumer,2016-10-11T18:30:00.000Z,Standard Class,Washington,Binders
Office Supplies,Fort Worth,United States,HP-14815,Harold Pawlan,0.8,2015-11-22,US-2015-118983,76106,OFF-AP-10002311,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",-123.858,5,Central,15,68.81,Home Office,26-11-15,Standard Class,Texas,Appliances
Office Supplies,Fort Worth,United States,HP-14815,Harold Pawlan,0.8,2015-11-22,US-2015-118983,76106,OFF-BI-10000756,Storex DuraTech Recycled Plastic Frosted Binders,-3.816,3,Central,16,2.544,Home Office,26-11-15,Standard Class,Texas,Binders
Office Supplies,Madison,United States,PK-19075,Pete Kriz,0.0,,CA-2014-105893,53711,OFF-ST-10004186,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",13.3176,6,Central,17,665.88,Consumer,18-11-14,Standard Class,Wisconsin,Storage
Office Supplies,West Jordan,United States,AG-10270,Alejandro Grove,0.0,2014-05-13,CA-2014-167164,84084,OFF-ST-10000107,Fellowes Super Stor/Drawer,9.99,2,West,18,55.5,Consumer,15-05-14,Second Class,Utah,Storage
Office Supplies,San Francisco,United States,ZD-21925,Zuschuss Donatelli,0.0,2014-08-27,CA-2014-143336,94109,OFF-AR-10003056,Newell 341,2.4824,2,West,19,8.56,Consumer,2014-01-08T18:30:00.000Z,Second Class,California,Art
Technology,San Francisco,United States,ZD-21925,Zuschuss Donatelli,0.2,2014-08-27,CA-2014-143336,94109,TEC-PH-10001949,Cisco SPA 501G IP Phone,16.011,3,West,20,213.48,Consumer,2014-01-08T18:30:00.000Z,Second Class,California,Phones
Office Supplies,San Francisco,United States,ZD-21925,Zuschuss Donatelli,0.2,2014-08-27,CA-2014-143336,94109,OFF-BI-10002215,"Wilson Jones Hanging View Binder, White, 1""",7.384,4,West,21,22.72,Consumer,2014-01-08T18:30:00.000Z,Second Class,California,Binders
Office Supplies,Fremont,United States,KB-16585,Ken Black,0.0,,CA-2016-137330,68025,OFF-AR-10000246,Newell 318,5.0596,7,Central,22,19.46,Corporate,13-12-16,Standard Class,Nebraska,Art
Office Supplies,Fremont,United States,KB-16585,Ken Black,0.0,,CA-2016-137330,68025,OFF-AP-10001492,"Acco Six-Outlet Power Strip, 4' Cord Length",15.6884,7,Central,23,60.34,Corporate,13-12-16,Standard Class,Nebraska,Appliances
Furniture,Philadelphia,United States,SF-20065,Sandra Flanagan,0.3,2017-07-16,US-2017-156909,19140,FUR-CH-10002774,"Global Deluxe Stacking Chair, Gray",-1.0196,2,East,24,71.372,Consumer,18-07-17,Second Class,Pennsylvania,Chairs
Furniture,Orem,United States,EB-13870,Emily Burns,0.0,2015-09-25,CA-2015-106320,84057,FUR-TA-10000577,Bretford CR4500 Series Slim Rectangular Table,240.2649,3,West,25,1044.63,Consumer,30-09-15,Standard Class,Utah,Tables
Office Supplies,Los Angeles,United States,EH-13945,Eric Hoffmann,0.2,2016-01-16,CA-2016-121755,90049,OFF-BI-10001634,Wilson Jones Active Use Binders,4.2224,2,West,26,11.648,Consumer,20-01-16,Second Class,California,Binders
Technology,Los Angeles,United States,EH-13945,Eric Hoffmann,0.0,2016-01-16,CA-2016-121755,90049,TEC-AC-10003027,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,11.7741,3,West,27,90.57,Consumer,20-01-16,Second Class,California,Accessories
Furniture,Philadelphia,United States,TB-21520,Tracy Blumstein,0.5,2015-09-17,US-2015-150630,19140,FUR-BO-10004834,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",-1665.0522,7,East,28,3083.43,Consumer,21-09-15,Standard Class,Pennsylvania,Bookcases
Office Supplies,Philadelphia,United States,TB-21520,Tracy Blumstein,0.7,2015-09-17,US-2015-150630,19140,OFF-BI-10000474,Avery Recycled Flexi-View Covers for Binding Systems,-7.0532,2,East,29,9.618,Consumer,21-09-15,Standard Class,Pennsylvania,Binders
Furniture,Philadelphia,United States,TB-21520,Tracy Blumstein,0.2,2015-09-17,US-2015-150630,19140,FUR-FU-10004848,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",15.525,3,East,30,124.2,Consumer,21-09-15,Standard Class,Pennsylvania,Furnishings
Office Supplies,Philadelphia,United States,TB-21520,Tracy Blumstein,0.2,2015-09-17,US-2015-150630,19140,OFF-EN-10001509,Poly String Tie Envelopes,1.1016,2,East,31,3.264,Consumer,21-09-15,Standard Class,Pennsylvania,Envelopes
Office Supplies,Philadelphia,United States,TB-21520,Tracy Blumstein,0.2,2015-09-17,US-2015-150630,19140,OFF-AR-10004042,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",9.7092,6,East,32,86.304,Consumer,21-09-15,Standard Class,Pennsylvania,Art
Office Supplies,Philadelphia,United States,TB-21520,Tracy Blumstein,0.7,2015-09-17,US-2015-150630,19140,OFF-BI-10001525,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",-5.715,6,East,33,6.858,Consumer,21-09-15,Standard Class,Pennsylvania,Binders
Office Supplies,Philadelphia,United States,TB-21520,Tracy Blumstein,0.2,2015-09-17,US-2015-150630,19140,OFF-AR-10001683,Lumber Crayons,3.546,2,East,34,15.76,Consumer,21-09-15,Standard Class,Pennsylvania,Art
Office Supplies,Houston,United States,MA-17560,Matt Abelman,0.2,2017-10-19,CA-2017-107727,77095,OFF-PA-10000249,Easy-staple paper,9.9468,3,Central,35,29.472,Home Office,23-10-17,Second Class,Texas,Paper
Technology,Richardson,United States,GH-14485,Gene Hale,0.2,,CA-2016-117590,75080,TEC-PH-10004977,GE 30524EE4,123.4737,7,Central,36,1097.544,Corporate,2016-10-11T18:30:00.000Z,First Class,Texas,Phones
Furniture,Richardson,United States,GH-14485,Gene Hale,0.6,,CA-2016-117590,75080,FUR-FU-10003664,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",-147.963,5,Central,37,190.92,Corporate,2016-10-11T18:30:00.000Z,First Class,Texas,Furnishings
Office Supplies,Houston,United States,SN-20710,Steve Nguyen,0.2,2015-12-27,CA-2015-117415,77041,OFF-EN-10002986,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",35.415,9,Central,38,113.328,Home Office,31-12-15,Standard Class,Texas,Envelopes
Furniture,Houston,United States,SN-20710,Steve Nguyen,0.32,2015-12-27,CA-2015-117415,77041,FUR-BO-10002545,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",-46.9764,3,Central,39,532.3992,Home Office,31-12-15,Standard Class,Texas,Bookcases
Furniture,Houston,United States,SN-20710,Steve Nguyen,0.3,2015-12-27,CA-2015-117415,77041,FUR-CH-10004218,"Global Fabric Manager's Chair, Dark Gray",-15.147,3,Central,40,212.058,Home Office,31-12-15,Standard Class,Texas,Chairs
Technology,Houston,United States,SN-20710,Steve Nguyen,0.2,2015-12-27,CA-2015-117415,77041,TEC-PH-10000486,Plantronics HL10 Handset Lifter,41.7564,4,Central,41,371.168,Home Office,31-12-15,Standard Class,Texas,Phones
